prev_address,state,county,city,NHGISST,NHGISCTY,ICPSRFIP,STATEFIP,COUNTYICP
13014,California,Los Angeles,Belvedere Township/Glendale/Beverly Hills/Huntington Park/Pasadena/Inglewood/Burbank/Santa Monica/Long Beach/South Gate,060,0370,6037,6,370
13015,California,Los Angeles,Los Angeles/Bell,060,0370,6037,6,370
13020,California,Orange,NA,060,0590,6059,6,590
13021,California,Orange,Newport Beach/Brea/Huntington Beach/Laguna Beach,060,0590,6059,6,590
13022,California,Orange,Orange,060,0590,6059,6,590
13023,California,Orange,Anaheim/Fullerton,060,0590,6059,6,590
13024,California,Orange,Santa Ana,060,0590,6059,6,590
13110,California,Del Norte,Crescent City,060,0150,6015,6,150
13120,California,Humboldt,NA,060,0230,6023,6,230
13123,California,Humboldt,Eureka,060,0230,6023,6,230
13130,California,Lake,NA,060,0330,6033,6,330
13140,California,Mendocino,NA,060,0450,6045,6,450
13141,California,Mendocino,NA,060,0450,6045,6,450
13143,California,Mendocino,NA,060,0450,6045,6,450
13150,California,Napa,NA,060,0550,6055,6,550
13152,California,Napa,Napa,060,0550,6055,6,550
13160,California,Sonoma,NA,060,0970,6097,6,970
13161,California,Sonoma,Healdsburg,060,0970,6097,6,970
13162,California,Sonoma,Petaluma,060,0970,6097,6,970
13163,California,Sonoma,Santa Rosa,060,0970,6097,6,970
132&0,California,Siskiyou,NA,060,0930,6093,6,930
132-0,California,Shasta,NA,060,0890,6089,6,890
132-2,California,Shasta,Redding,060,0890,6089,6,890
13200,California,Plumas,NA,060,0630,6063,6,630
13210,California,Alpine,NA,060,0030,6003,6,30
13211,California,Alpine,NA,060,0030,6003,6,30
13220,California,Amador,NA,060,0050,6005,6,50
13230,California,Calaveras,NA,060,0090,6009,6,90
13240,California,El Dorado,NA,060,0170,6017,6,170
13241,California,El Dorado,Placerville,060,0170,6017,6,170
13270,California,Modoc,Alturas,060,0490,6049,6,490
13280,California,Nevada,NA,060,0570,6057,6,570
