prev_address, state, county, city
13831, California, "Marin",
13832, California, "Marin",
13841, California, "San Francisco",
13844, California, "San Francisco",
13850, California, "San Mateo",
13851, California, "San Mateo",
13852, California, "San Mateo",
13853, California, "San Mateo",
13855, California, "San Mateo",
13860, California, "Solano",
13863, California, "Solano",
13910, California, "Sacramento",
13911, California, "Sacramento",
13912, California, "Sacramento",
13913, California, "Sacramento",
13914, California, "Sacramento",
13915, California, "Sacramento",
13919, California, "Sacramento",
1391O, California, "Sacramento",
18413, NA, NA, NA
21053, New Mexico, "Curry", "Clovis"
21253, New Mexico, "Santa Fe", "Santa Fe"
22451, Colorado, "Otero", "Rocky Ford"
22620, Colorado, "Weld", "Fort Lupton"
22623, Colorado, "Weld", "Greeley"
23033, Idaho, "Bannock", "Pocatello"
23060, Idaho, "Bingham", "Shelly"
23061, Idaho, "Bingham", "Blackfoot"
23103, Idaho, "Bonneville", "Idaho Falls"
24253, Montana,  "Lewis and Clark", "Helena"
24324, Montana, "Missoula", "Missoula"
24342, Montana, "Park", "Livingston"
25030, Nevada, "Douglas", "Glenbrook"
25100, Nevada, "Lyon", "Mason"
26130, Arizona, "Gila", "Winkelman"
26160, Arizona, "Yavapai", "Jerome"
26210, Arizona, "Cochise", NA
26240, Arizona, "Maricopa", NA
26241, Arizona, "Maricopa", NA
26242, Arizona, "Maricopa", "Mesa"
26244, Arizona, "Maricopa", "Phoenix"
26254, Arizona, "Pinal", "Tucson"
26282, Arizona, "Yuma", "Yuma"
27020, Utah, "Box Elder", "Garland"
27040, Utah, "Carbon", "Royal"
27261, Utah, "Wasatch", "Keetley"
31374, Alabama, "Jefferson", "Birmingham"
32604, Arkansas, "Pulaski", "Little Rock"
3800&, Texas, "Harris", "Webster"
4&221, Wisconsin, "Grant", "Lancaster"
41165, Illinois, "Cook", "Chicago"
45134, Michigan, "Calhoun", "Battle Creek"
47422, Missouri, "Henry/Rives", "Clinton"
47953, Missouri, "St Louis", "Clayton"
48284, Nebraska, "Douglas", "Omaha"
49083, North Dakota, "Burleigh", "Bismarck"
