state,county,NHGISST,NHGISCTY,sex,birthyr,birthplace,n_z_I,p_z_I,STATEFIP,COUNTYICP,n_z,p_z,pr_intern
Alaska,First Judicial Division,NA,NA,2,1923,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1923,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1926,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1927,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1927,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1929,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1931,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1932,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1934,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1935,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1937,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1939,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1940,81,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Alaska,First Judicial Division,NA,NA,2,1941,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1915,11,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1920,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,1,1924,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,2,1918,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Fourth Judicial Division,NA,NA,2,1920,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1908,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1910,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Second Judicial Division,NA,NA,1,1916,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1893,71,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1903,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1907,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1908,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1909,74,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1912,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1913,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1914,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1915,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1917,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1917,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1918,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1920,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1921,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1922,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1922,24,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1922,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1923,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1924,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1926,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1929,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1930,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1932,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1940,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,1,1941,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1893,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1918,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1919,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1921,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1921,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1922,81,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1928,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Alaska,Third Judicial Division,NA,NA,2,1942,81,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Cochise,040,0030,1,1921,21,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Cochise,040,0030,1,1923,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Cochise,040,0030,2,1926,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Cochise,040,0030,2,1927,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Cochise,040,0030,2,1929,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Gila,040,0070,1,1921,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Gila,040,0070,1,1941,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Gila,040,0070,2,1918,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Gila,040,0070,2,1923,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Gila,040,0070,2,1932,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1868,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1874,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1876,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1878,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1878,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1879,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1880,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1880,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1881,93,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1881,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1883,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1883,96,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1883,99,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1884,94,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1885,96,3,2.768242719521648e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1885,97,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1886,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1887,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1888,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1888,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1889,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1889,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1889,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1889,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1890,97,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1890,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1891,99,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1892,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1893,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1895,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1896,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1896,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1897,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1900,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1901,93,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1901,96,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1902,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1906,95,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1907,96,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1907,98,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1915,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1915,74,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1916,13,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1917,72,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1918,11,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1918,26,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1919,13,1,9.227475731738825e-6,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1920,26,2,1.845495146347765e-5,NA,NA,NA,NA,NA
Arizona,Maricopa,040,0130,1,1920,72,1,9.227475731738825e-6,NA,NA,NA,NA,NA
