Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,400,1090,Oklahoma,Oklahoma,53,1090,1860563517.3175755,400,1090,Oklahoma,Oklahoma,53,1090,1860563517.317581,1.0,1
1940,470,0150,Tennessee,Cannon,54,150,688152935.6212554,470,0150,Tennessee,Cannon,54,150,688152935.6212548,1.0,1
1940,470,0410,Tennessee,De Kalb,54,410,852069921.48352,470,0410,Tennessee,De Kalb,54,410,852069921.483524,1.0,1
1940,470,1770,Tennessee,Warren,54,1770,1124154585.2885215,470,1770,Tennessee,Warren,54,1770,1124154585.2885191,1.0,1
1940,470,1890,Tennessee,Wilson,54,1890,1510510732.584198,470,1890,Tennessee,Wilson,54,1890,1510510732.5841975,1.0,1
1940,160,0750,Idaho,Payette,63,750,1062122494.2656999,160,0750,Idaho,Payette,63,750,1062122494.2656999,1.0,1
1940,300,0670,Montana,Park,64,670,6910781824.598164,300,0670,Montana,Park,64,670,6910781824.598146,1.0,1
1940,300,0950,Montana,Stillwater,64,950,4673337083.434093,300,0950,Montana,Stillwater,64,950,4673337083.434091,1.0,1
1940,420,0250,Pennsylvania,Carbon,14,250,1003662608.2524617,420,0250,Pennsylvania,Carbon,14,250,1003662608.2524635,1.0,1
1940,420,0790,Pennsylvania,Luzerne,14,790,2349268156.5253158,420,0790,Pennsylvania,Luzerne,14,790,2349268156.525321,1.0,1
1940,420,0890,Pennsylvania,Monroe,14,890,1598456305.2689068,420,0890,Pennsylvania,Monroe,14,890,1598456305.2689028,1.0,1
1940,490,0070,Utah,Carbon,67,70,3845208448.054046,490,0070,Utah,Carbon,67,70,3845208448.0540376,1.0,1
1940,490,0130,Utah,Duchesne,67,130,8432835503.774199,490,0130,Utah,Duchesne,67,130,8432835503.7742195,1.0,1
1940,490,0150,Utah,Emery,67,150,11555404151.363813,490,0150,Utah,Emery,67,150,11555404151.363771,1.0,1
1940,490,0390,Utah,Sanpete,67,390,4150544680.544519,490,0390,Utah,Sanpete,67,390,4150544680.5445147,1.0,1
1940,490,0470,Utah,Uintah,67,470,11652236748.66916,490,0470,Utah,Uintah,67,470,11652236748.669191,1.0,1
1940,490,0490,Utah,Utah,67,490,5553086519.313468,490,0490,Utah,Utah,67,490,5553086519.313497,1.0,1
1940,560,0130,Wyoming,Fremont,68,130,23998150330.765022,560,0130,Wyoming,Fremont,68,130,23998150330.76499,1.0,1
1940,080,0810,Colorado,Moffat,62,810,12304466653.426817,080,0810,Colorado,Moffat,62,810,12304466653.426857,1.0,1
1940,560,0250,Wyoming,Natrona,68,250,13922892002.837748,560,0250,Wyoming,Natrona,68,250,13922892002.837732,1.0,1
1940,080,1070,Colorado,Routt,62,1070,6133783770.97308,080,1070,Colorado,Routt,62,1070,6133783770.97309,1.0,1
1940,560,0370,Wyoming,Sweetwater,68,370,27171825391.669987,560,0370,Wyoming,Sweetwater,68,370,27171825391.66997,1.0,1
1940,210,1050,Kentucky,Hickman,51,1050,655487258.993051,210,1050,Kentucky,Hickman,51,1050,655487258.99305,1.0,1
1940,240,0110,Maryland,Caroline,52,90,840543124.7697926,240,0110,Maryland,Caroline,52,90,840543124.7697935,1.0,1
1940,240,0190,Maryland,Dorchester,52,170,1488734079.3672187,240,0190,Maryland,Dorchester,52,170,1488734079.3671844,1.0,1
1940,100,0010,Delaware,Kent,11,10,1546177904.2391658,100,0010,Delaware,Kent,11,10,1546177904.2391696,1.0,1
1940,240,0350,Maryland,Queen Annes,52,330,968141116.6293247,240,0350,Maryland,Queen Annes,52,330,968141116.629327,1.0,1
1940,100,0050,Delaware,Sussex,11,50,2448619347.8875146,100,0050,Delaware,Sussex,11,50,2448619347.887514,0.9999999431399674,1
1940,100,0050,Delaware,Sussex,11,50,2448619347.8875146,240,0450,Maryland,Wicomico,52,430,139.2285839397759,5.686003263159302e-08,1
1940,240,0450,Maryland,Wicomico,52,430,993565889.3994447,100,0050,Delaware,Sussex,11,50,139.22858393977435,1.401301774900941e-07,1
1940,240,0450,Maryland,Wicomico,52,430,993565889.3994447,240,0450,Maryland,Wicomico,52,430,993565889.3994504,0.9999998598698224,1
1940,240,0410,Maryland,Talbot,52,390,699342962.5768968,240,0410,Maryland,Talbot,52,390,699342962.5768967,1.0,1
1940,510,0330,Virginia,Caroline,40,330,1395808344.395986,510,0330,Virginia,Caroline,40,330,1395808344.3959851,1.0,1
1940,510,0570,Virginia,Essex,40,570,686747522.1584904,510,0570,Virginia,Essex,40,570,686747522.1584879,1.0,1
1940,510,0850,Virginia,Hanover,40,850,1226638536.543455,510,0850,Virginia,Hanover,40,850,1226638536.54345,1.0,1
1940,510,0970,Virginia,King And Queen,40,970,829092348.2389559,510,0970,Virginia,King And Queen,40,970,829092348.2389585,1.0,1
1940,510,0990,Virginia,King George,40,990,476921621.44967407,510,0990,Virginia,King George,40,990,476921621.4496752,1.0,1
1940,510,1010,Virginia,King William,40,1010,737035156.0641164,510,1010,Virginia,King William,40,1010,737035156.0641172,1.0,1
1940,510,1770,Virginia,Spotsylvania,40,1770,1089911032.1342156,510,1770,Virginia,Spotsylvania,40,1770,1089911032.1342154,1.0,1
1940,510,1790,Virginia,Stafford,40,1790,708791051.0998567,510,1790,Virginia,Stafford,40,1790,708791051.0998547,1.0,1
1940,130,0450,Georgia,Carroll,44,450,1304921069.5033891,130,0450,Georgia,Carroll,44,450,1304921069.5033886,1.0,1
1940,130,0770,Georgia,Coweta,44,770,1154656759.6909723,130,0770,Georgia,Coweta,44,770,1154656759.6909716,1.0,1
1940,130,0970,Georgia,Douglas,44,970,520631889.854671,130,0970,Georgia,Douglas,44,970,520631889.8546712,1.0,1
1940,130,1210,Georgia,Fulton,44,1210,1383962691.2778761,130,1210,Georgia,Fulton,44,1210,1383962691.277877,1.0,1
1940,130,1430,Georgia,Haralson,44,1430,733421113.9674442,130,1430,Georgia,Haralson,44,1430,733421113.9674428,1.0,1
1940,130,1490,Georgia,Heard,44,1490,779814319.59602,130,1490,Georgia,Heard,44,1490,779814319.5960207,1.0,1
1940,010,1110,Alabama,Randolph,41,1110,1512900945.1660416,010,1110,Alabama,Randolph,41,1110,1512900945.1660411,1.0,1
1940,170,0150,Illinois,Carroll,21,150,1207896830.5222888,170,0150,Illinois,Carroll,21,150,1207896830.522291,1.0,1
1940,190,0450,Iowa,Clinton,31,450,1839344831.139573,190,0450,Iowa,Clinton,31,450,1839344831.139575,1.0,1
1940,190,0970,Iowa,Jackson,31,970,1682474229.6513505,190,0970,Iowa,Jackson,31,970,1682474229.6513479,1.0,1
1940,170,0850,Illinois,Jo Daviess,21,850,1602476478.780148,170,0850,Illinois,Jo Daviess,21,850,1602476478.7801464,1.0,1
1940,170,1770,Illinois,Stephenson,21,1770,1463487401.5006769,170,1770,Illinois,Stephenson,21,1770,1463487401.5006742,1.0,1
1940,180,0150,Indiana,Carroll,22,150,971296376.9599572,180,0150,Indiana,Carroll,22,150,971296376.9599569,1.0,1
1940,180,0170,Indiana,Cass,22,170,1074451019.0120234,180,0170,Indiana,Cass,22,170,1074451019.0120242,1.0,1
1940,180,0670,Indiana,Howard,22,670,761251921.6983379,180,0670,Indiana,Howard,22,670,761251921.6983393,1.0,1
1940,210,0410,Kentucky,Carroll,51,410,355312108.50301087,210,0410,Kentucky,Carroll,51,410,355312108.5030104,1.0,1
1940,210,1030,Kentucky,Henry,51,1030,752888600.35775,210,1030,Kentucky,Henry,51,1030,752888600.3577503,1.0,1
1940,180,0770,Indiana,Jefferson,22,770,940258107.8437669,180,0770,Indiana,Jefferson,22,770,940258107.8437647,1.0,1
1940,210,1870,Kentucky,Owen,51,1870,918942403.7372426,210,1870,Kentucky,Owen,51,1870,918942403.7372411,1.0,1
1940,210,2230,Kentucky,Trimble,51,2230,404347954.1482988,210,2230,Kentucky,Trimble,51,2230,404347954.1482984,1.0,1
1940,280,0830,Mississippi,Leflore,46,830,1570559506.8122342,280,0830,Mississippi,Leflore,46,830,1570559506.8122342,1.0,1
1940,290,0410,Missouri,Chariton,34,410,1989930657.809668,290,0410,Missouri,Chariton,34,410,1989930657.8096673,1.0,1
1940,290,1070,Missouri,Lafayette,34,1070,1655604292.656432,290,1070,Missouri,Lafayette,34,1070,1655604292.656432,1.0,1
1940,290,1950,Missouri,Saline,34,1950,1980422041.7325354,290,1950,Missouri,Saline,34,1950,1980422041.7325304,1.0,1
1940,330,0070,New Hampshire,Coos,4,70,4738535361.41209,330,0070,New Hampshire,Coos,4,70,4738535361.412058,1.0,1
1940,230,0310,Maine,York,2,310,2629172147.2342525,230,0310,Maine,York,2,310,2629172147.234239,1.0,1
